title,storyline,description,directors,writers,cast,tagline,genres
Two Thousand Maniacs!,Six people are lured into a small Deep South town for a Centennial celebration where the residents proceed to kill them one by one as revenge for the town's destruction during the Civil War.,Six people are lured into a small Deep South town for a Centennial celebration where the residents proceed to kill them one by one as revenge for the town's destruction during the Civil War.,Herschell Gordon Lewis,Herschell Gordon Lewis,"['Connie Mason (Unknown Role)', 'William Kerwin (Unknown Role)', 'Jeffrey Allen (Unknown Role)', 'Shelby Livingston (Unknown Role)', 'Ben Moore (Unknown Role)']",Tagline not available,Horror
Brown&apos;s Requiem,"Recovering alcoholic, ex-LAPD, private detective Fritz Brown, is hired by caddie &quot;Fat Dog&quot; to follow his kid sister, who is holed up with an old sugar daddy. The trail leads to his old police boss Cathcart, and the bodies start to...","Recovering alcoholic, ex-LAPD, private detective Fritz Brown, is hired by caddie &quot;Fat Dog&quot; to follow his kid sister, who is holed up with an old sugar daddy. The trail leads to his old police boss Cathcart, and the bodies start to...",Jason Freeland,"Jason Freeland, James Ellroy","['Michael Rooker (Unknown Role)', 'Big Daddy Wayne (Unknown Role)', 'Jack Wallace (Unknown Role)', 'Will Sasso (Unknown Role)', 'Selma Blair (Unknown Role)']",Tagline not available,Drama
The Closer You Get,"Irish lads send an ad to the Miami Herald inviting fit and enticing women, between the ages of 20 and 21, to live in their isolated Donegal village. The whole town knows about the ad, and it sharpens everyone's sense of the opport...","Irish lads send an ad to the Miami Herald inviting fit and enticing women, between the ages of 20 and 21, to live in their isolated Donegal village. The whole town knows about the ad, and it sharpens everyone's sense of the opport...",Aileen Ritchie,"Herbie Wave, William Ivory","['Ian Hart (Unknown Role)', 'Sean McGinley (Unknown Role)', 'Niamh Cusack (Unknown Role)', 'Ruth McCabe (Unknown Role)', 'Ewan Stewart (Unknown Role)']",Tagline not available,Comedy|Romance
Mission to Mars,"When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting an unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors.","When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting an unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors.",Brian De Palma,"Lowell Cannon, Jim Thomas, John Thomas","['Tim Robbins (Unknown Role)', 'Gary Sinise (Unknown Role)', 'Don Cheadle (Unknown Role)', 'Connie Nielsen (Unknown Role)', ""Jerry O'Connell (Unknown Role)""]",Tagline not available,Sci-Fi
The Ninth Gate,A dealer of rare books finds himself at the heart of a string of paranormal events when he is hired to find the last two copies of a text capable of summoning the devil.,A dealer of rare books finds himself at the heart of a string of paranormal events when he is hired to find the last two copies of a text capable of summoning the devil.,Roman Polanski,"Arturo Pérez-Reverte, John Brownjohn, Enrique Urbizu","['Johnny Depp (Unknown Role)', 'Frank Langella (Unknown Role)', 'Lena Olin (Unknown Role)', 'Emmanuelle Seigner (Unknown Role)', 'Barbara Jefford (Unknown Role)']",Tagline not available,Thriller
Condo Painting,,,John McNaughton,"George Condo, John McNaughton","['Patrick Achdjian (Unknown Role)', 'William S. Burroughs (Unknown Role)', 'Anna Condo (Unknown Role)', 'Eleonore Condo (Unknown Role)', 'George Condo (Unknown Role)']",Tagline not available,Documentary
Est - Ouest,"In June 1946, Stalin invites the Russian exiled from the 1917 Revolution to return home. When the ships comes ashore in Odessa, the passengers are divided in two groups and one of them is executed. Among the survivors are Dr. Alek...","In June 1946, Stalin invites the Russian exiled from the 1917 Revolution to return home. When the ships comes ashore in Odessa, the passengers are divided in two groups and one of them is executed. Among the survivors are Dr. Alek...",Régis Wargnier,"Rustam Ibragimbekov, Sergei Bodrov, Louis Gardel","['Oleg Menshikov (Unknown Role)', 'Sandrine Bonnaire (Unknown Role)', 'Catherine Deneuve (Unknown Role)', 'Sergey Bodrov (Unknown Role)', 'Ruben Tapiero (Unknown Role)']",Tagline not available,Drama|Romance
Defending Your Life,"In an afterlife way-station resembling a major city, the lives of the recently deceased are examined in a court-like setting.","In an afterlife way-station resembling a major city, the lives of the recently deceased are examined in a court-like setting.",Albert Brooks,Albert Brooks,"['Albert Brooks (Unknown Role)', 'Meryl Streep (Unknown Role)', 'Rip Torn (Unknown Role)', 'Lee Grant (Unknown Role)', 'Julie Cobb (Unknown Role)']",Tagline not available,Comedy|Romance
Breaking Away,A working-class Indiana teen obsessed with the Italian cycling team vies for the affections of a college girl while searching for life goals with his friends.,A working-class Indiana teen obsessed with the Italian cycling team vies for the affections of a college girl while searching for life goals with his friends.,Peter Yates,Steve Tesich,"['Dennis Christopher (Unknown Role)', 'Dennis Quaid (Unknown Role)', 'Daniel Stern (Unknown Role)', 'Jackie Earle Haley (Unknown Role)', 'Barbara Barrie (Unknown Role)']",Tagline not available,Drama
Hoosiers,A coach with a checkered past and a local drunk train a small-town high school basketball team to become a top contender for the state championship in 1950s Indiana.,A coach with a checkered past and a local drunk train a small-town high school basketball team to become a top contender for the state championship in 1950s Indiana.,David Anspaugh,Angelo Pizzo,"['Gene Hackman (Unknown Role)', 'Barbara Hershey (Unknown Role)', 'Dennis Hopper (Unknown Role)', 'Sheb Wooley (Unknown Role)', 'Fern Persons (Unknown Role)']",Tagline not available,Drama
Bull Durham,A fan who has an affair with one minor-league baseball player each season meets an up-and-coming pitcher and the experienced catcher assigned to him.,A fan who has an affair with one minor-league baseball player each season meets an up-and-coming pitcher and the experienced catcher assigned to him.,Ron Shelton,Ron Shelton,"['Kevin Costner (Unknown Role)', 'Susan Sarandon (Unknown Role)', 'Tim Robbins (Unknown Role)', 'Trey Wilson (Unknown Role)', 'Robert Wuhl (Unknown Role)']",Tagline not available,Comedy
Dog Day Afternoon,"Three amateur robbers plan to hold up a Brooklyn bank. A nice, simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wr...","Three amateur robbers plan to hold up a Brooklyn bank. A nice, simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wr...",Sidney Lumet,"Frank Pierson, P.F. Kluge, Thomas Moore","['Al Pacino (Unknown Role)', 'John Cazale (Unknown Role)', 'Penelope Allen (Unknown Role)', 'Sully Boyar (Unknown Role)', 'Beulah Garrick (Unknown Role)']",Tagline not available,Comedy|Crime|Drama
American Graffiti,A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.,A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.,George Lucas,"George Lucas, Gloria Katz, Willard Huyck","['Richard Dreyfuss (Unknown Role)', 'Ron Howard (Unknown Role)', 'Paul Le Mat (Unknown Role)', 'Charles Martin Smith (Unknown Role)', 'Cindy Williams (Unknown Role)']",Tagline not available,Comedy|Drama
The Asphalt Jungle,"A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.","A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.",John Huston,"Ben Maddow, John Huston, W.R. Burnett","['Sterling Hayden (Unknown Role)', 'Louis Calhern (Unknown Role)', 'Jean Hagen (Unknown Role)', 'James Whitmore (Unknown Role)', 'Sam Jaffe (Unknown Role)']",Tagline not available,Crime|Film-Noir
The Searchers,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.,John Ford,"Frank S. Nugent, Alan Le May","['John Wayne (Unknown Role)', 'Jeffrey Hunter (Unknown Role)', 'Vera Miles (Unknown Role)', 'Ward Bond (Unknown Role)', 'Natalie Wood (Unknown Role)']",Tagline not available,Western
Where Eagles Dare,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.","Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",Brian G. Hutton,Alistair MacLean,"['Richard Burton (Unknown Role)', 'Clint Eastwood (Unknown Role)', 'Mary Ure (Unknown Role)', 'Patrick Wymark (Unknown Role)', 'Michael Hordern (Unknown Role)']",Tagline not available,Action|Adventure|War
The Devil&apos;s Brigade,A US Army lieutenant colonel is tasked with forming an elite commando-style unit from crack Canadian troops and the dregs of the US Army.,A US Army lieutenant colonel is tasked with forming an elite commando-style unit from crack Canadian troops and the dregs of the US Army.,Andrew V. McLaglen,"William Roberts, Robert H. Adleman, George Walton","['William Holden (Unknown Role)', 'Cliff Robertson (Unknown Role)', 'Vince Edwards (Unknown Role)', 'Andrew Prine (Unknown Role)', 'Jeremy Slate (Unknown Role)']",Tagline not available,War
The Big Country,"A New England sea captain in the 1880s arrives at his fiancée's sprawling Texas ranch, where he becomes embroiled in a feud between two families over a valuable patch of land.","A New England sea captain in the 1880s arrives at his fiancée's sprawling Texas ranch, where he becomes embroiled in a feud between two families over a valuable patch of land.",William Wyler,"James R. Webb, Sy Bartlett, Robert Wilder","['Gregory Peck (Unknown Role)', 'Jean Simmons (Unknown Role)', 'Carroll Baker (Unknown Role)', 'Charlton Heston (Unknown Role)', 'Burl Ives (Unknown Role)']",Tagline not available,Romance|Western
Betrayed,An FBI agent posing as a combine driver becomes romantically involved with a Midwest farmer who lives a double life as a white supremacist.,An FBI agent posing as a combine driver becomes romantically involved with a Midwest farmer who lives a double life as a white supremacist.,Costa-Gavras,Joe Eszterhas,"['Debra Winger (Unknown Role)', 'Tom Berenger (Unknown Role)', 'John Heard (Unknown Role)', 'Betsy Blair (Unknown Role)', 'John Mahoney (Unknown Role)']",Tagline not available,Drama|Thriller
Bound for Glory,The early life of Woody Guthrie as a vagabond folk singer.,The early life of Woody Guthrie as a vagabond folk singer.,Hal Ashby,"Robert Getchell, Woody Guthrie","['David Carradine (Unknown Role)', 'Ronny Cox (Unknown Role)', 'Melinda Dillon (Unknown Role)', 'Gail Strickland (Unknown Role)', 'John Lehne (Unknown Role)']",Tagline not available,Drama
The Bridge at Remagen,"As the Allied armies close in, the Germans decide to blow up the last Rhine bridge, trapping their own men on the wrong side. But will it happen?","As the Allied armies close in, the Germans decide to blow up the last Rhine bridge, trapping their own men on the wrong side. But will it happen?",John Guillermin,"Richard Yates, William Roberts, Roger O. Hirson","['George Segal (Unknown Role)', 'Robert Vaughn (Unknown Role)', 'Ben Gazzara (Unknown Role)', 'Bradford Dillman (Unknown Role)', 'E.G. Marshall (Unknown Role)']",Tagline not available,Action|War
Buck and the Preacher,A wagon master and a con-man preacher help freed slaves dogged by cheap-labor agents out West.,A wagon master and a con-man preacher help freed slaves dogged by cheap-labor agents out West.,"Sidney Poitier, Joseph Sargent","Ernest Kinoy, Drake Walker","['Sidney Poitier (Unknown Role)', 'Harry Belafonte (Unknown Role)', 'Ruby Dee (Unknown Role)', 'Cameron Mitchell (Unknown Role)', 'Denny Miller (Unknown Role)']",Tagline not available,Western
Daughters of the Dust,"A languid, impressionistic story of three generations of Gullah women living on the South Carolina Sea Islands in 1902.","A languid, impressionistic story of three generations of Gullah women living on the South Carolina Sea Islands in 1902.",Julie Dash,Julie Dash,"['Cora Lee Day (Unknown Role)', 'Alva Rogers (Unknown Role)', 'Barbara O (Unknown Role)', 'Trula Hoosier (Unknown Role)', 'Umar Abdurrahamn (Unknown Role)']",Tagline not available,Drama
Destination Moon,"&quot;Destination Moon&quot;, tells the tale of when Doctor Charles Cargraves and retired General Thayer approach Jim Barnes, the head of his own aviation construction firms to help build a rocket that will take them to the moon.","&quot;Destination Moon&quot;, tells the tale of when Doctor Charles Cargraves and retired General Thayer approach Jim Barnes, the head of his own aviation construction firms to help build a rocket that will take them to the moon.",Irving Pichel,"Alford Van Ronkel, Robert A. Heinlein, James O&apos;Hanlon","['John Archer (Unknown Role)', 'Warner Anderson (Unknown Role)', 'Tom Powers (Unknown Role)', 'Dick Wesson (Unknown Role)', ""Erin O'Brien-Moore (Unknown Role)""]",Tagline not available,Sci-Fi
La nuit fantastique,"Denis is distracted: he's studying all day for philosophy exams and working all night at the flower market; plus, whenever he closes his eyes, he dreams of a mysterious woman in white. His girlfriend Nina is annoyed at him for his...","Denis is distracted: he's studying all day for philosophy exams and working all night at the flower market; plus, whenever he closes his eyes, he dreams of a mysterious woman in white. His girlfriend Nina is annoyed at him for his...",Marcel L&apos;Herbier,"Louis Chavance, Maurice Henry, Henri Jeanson","['Fernand Gravey (Unknown Role)', 'Micheline Presle (Unknown Role)', 'Saturnin Fabre (Unknown Role)', 'Charles Granval (Unknown Role)', 'Bernard Blier (Unknown Role)']",Tagline not available,Romance
Hangmen Also Die!,"After the German administrator of Czechia is shot, his assassin tries to elude the Gestapo and struggles with his impulse to give himself up as hostages are executed.","After the German administrator of Czechia is shot, his assassin tries to elude the Gestapo and struggles with his impulse to give himself up as hostages are executed.",Fritz Lang,"John Wexley, Bertolt Brecht, Fritz Lang","['Brian Donlevy (Unknown Role)', 'Walter Brennan (Unknown Role)', 'Anna Lee (Unknown Role)', 'Gene Lockhart (Unknown Role)', ""Dennis O'Keefe (Unknown Role)""]",Tagline not available,Drama|War
On the Beach,"After a global nuclear war, the residents of Australia must come to terms with the fact that all life will be destroyed in a matter of months.","After a global nuclear war, the residents of Australia must come to terms with the fact that all life will be destroyed in a matter of months.",Stanley Kramer,"John Paxton, Nevil Shute","['Gregory Peck (Unknown Role)', 'Ava Gardner (Unknown Role)', 'Fred Astaire (Unknown Role)', 'Anthony Perkins (Unknown Role)', 'Donna Anderson (Unknown Role)']",Tagline not available,Drama
Railroaded!,"A beautician and her crooked boyfriend attempt to rob the bookie operation located in the back room, but when the plan goes wrong, they frame an innocent man.","A beautician and her crooked boyfriend attempt to rob the bookie operation located in the back room, but when the plan goes wrong, they frame an innocent man.",Anthony Mann,"John C. Higgins, Gertrude Walker","['John Ireland (Unknown Role)', 'Sheila Ryan (Unknown Role)', 'Hugh Beaumont (Unknown Role)', 'Jane Randolph (Unknown Role)', 'Ed Kelly (Unknown Role)']",Tagline not available,Film-Noir
Slaves to the Underground,Two female band mates put their own romantic relationship and music in jeopardy when a love triangle with a former boyfriend ensues between them.,Two female band mates put their own romantic relationship and music in jeopardy when a love triangle with a former boyfriend ensues between them.,Kristine Peterson,Bill Cody,"['Molly Gross (Unknown Role)', 'Jason Bortz (Unknown Role)', 'Marisa Ryan (Unknown Role)', 'Bob Neuwirth (Unknown Role)', 'Natacha La Ferriere (Unknown Role)']",Tagline not available,Comedy|Drama
Song of Freedom,A black British dockworker named Johnny Zinga becomes a famous singer and learns that he is the rightful king of the African island of Casanga.,A black British dockworker named Johnny Zinga becomes a famous singer and learns that he is the rightful king of the African island of Casanga.,J. Elder Wills,"Claude Wallace, Dorothy Holloway, Ingram D&apos;Abbes","['Paul Robeson (Unknown Role)', 'Elisabeth Welch (Unknown Role)', 'Esme Percy (Unknown Role)', 'Robert Adams (Unknown Role)', 'James Solomon (Unknown Role)']",Tagline not available,Drama
Big Fella,"In this musical comedy, Paul Robeson stars as Joe, a Marseilles docker hired by a wealthy English couple to find their missing son. When Joe finds him, he learns he escaped of his own will, and takes him to stay with a local singe...","In this musical comedy, Paul Robeson stars as Joe, a Marseilles docker hired by a wealthy English couple to find their missing son. When Joe finds him, he learns he escaped of his own will, and takes him to stay with a local singe...",J. Elder Wills,"Ingram D&apos;Abbes, Claude McKay, Fenn Sherie","['Paul Robeson (Unknown Role)', 'Elisabeth Welch (Unknown Role)', 'Roy Emerton (Unknown Role)', 'James Hayter (Unknown Role)', 'Lawrence Brown (Unknown Role)']",Tagline not available,Drama|Musical
The Taking of Pelham One Two Three,"Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?","Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?",Joseph Sargent,"John Godey, Peter Stone","['Walter Matthau (Unknown Role)', 'Robert Shaw (Unknown Role)', 'Martin Balsam (Unknown Role)', 'Hector Elizondo (Unknown Role)', 'Earl Hindman (Unknown Role)']",Tagline not available,Action
Volunteers,"After graduating from Yale in 1962, womanizing Lawrence flees a gambling debt that his rich dad won't pay and takes his roomie's place as Peace Corps Volunteer in Thai Golden Triangle with two other PCVs. Will he survive two years?","After graduating from Yale in 1962, womanizing Lawrence flees a gambling debt that his rich dad won't pay and takes his roomie's place as Peace Corps Volunteer in Thai Golden Triangle with two other PCVs. Will he survive two years?",Nicholas Meyer,"Ken Levine, David Isaacs, Keith Critchlow","['Tom Hanks (Unknown Role)', 'John Candy (Unknown Role)', 'Rita Wilson (Unknown Role)', 'Tim Thomerson (Unknown Role)', 'Gedde Watanabe (Unknown Role)']",Tagline not available,Comedy
JFK,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,Oliver Stone,"Jim Garrison, Jim Marrs, Oliver Stone","['Kevin Costner (Unknown Role)', 'Gary Oldman (Unknown Role)', 'Jack Lemmon (Unknown Role)', 'Walter Matthau (Unknown Role)', 'Sally Kirkland (Unknown Role)']",Tagline not available,Drama|Mystery
Who&apos;s Harry Crumb?,Harry Crumb is a bumbling and inept private investigator who is hired to solve the kidnapping of a young heiress which he's not expected to solve because his employer is the mastermind behind the kidnapping.,Harry Crumb is a bumbling and inept private investigator who is hired to solve the kidnapping of a young heiress which he's not expected to solve because his employer is the mastermind behind the kidnapping.,Paul Flaherty,"Bob Conte, Peter Wortmann","['John Candy (Unknown Role)', 'Jeffrey Jones (Unknown Role)', 'Annie Potts (Unknown Role)', 'Tim Thomerson (Unknown Role)', 'Barry Corbin (Unknown Role)']",Tagline not available,Comedy
Harry and the Hendersons,The Henderson family adopt a friendly Sasquatch but have a hard time trying to keep the legend of 'Bigfoot' a secret.,The Henderson family adopt a friendly Sasquatch but have a hard time trying to keep the legend of 'Bigfoot' a secret.,William Dear,"William Dear, Bill Martin, Ezra D. Rappaport","['John Lithgow (Unknown Role)', 'Melinda Dillon (Unknown Role)', 'Margaret Langrick (Unknown Role)', 'Joshua Rudoy (Unknown Role)', 'Kevin Peter Hall (Unknown Role)']",Tagline not available,Comedy
Let&apos;s Get Harry,"When Colombian revolutionaries kidnap an American engineer, his brother and friends, faced with official inaction, hire a mercenary and mount the rescue operation themselves.","When Colombian revolutionaries kidnap an American engineer, his brother and friends, faced with official inaction, hire a mercenary and mount the rescue operation themselves.",Stuart Rosenberg,"Mark Feldberg, Samuel Fuller, Charles Robert Carner","['Michael Schoeffling (Unknown Role)', 'Tom Wilson (Unknown Role)', 'Fidel Abrego (Unknown Role)', 'Jere Burns (Unknown Role)', 'Gary Busey (Unknown Role)']",Tagline not available,Action|Adventure
Shanghai Surprise,"Shanghai, 1938: A missionary woman hires a fortune hunter to help her find 1100 lbs. opium lost, as wounded need the morphine. Adventure and romance follows.","Shanghai, 1938: A missionary woman hires a fortune hunter to help her find 1100 lbs. opium lost, as wounded need the morphine. Adventure and romance follows.",Jim Goddard,"John Kohn, Robert Bentley, Tony Kenrick","['Sean Penn (Unknown Role)', 'Madonna (Unknown Role)', 'Paul Freeman (Unknown Role)', 'Richard Griffiths (Unknown Role)', 'Philip Sayer (Unknown Role)']",Tagline not available,Adventure
Who&apos;s That Girl,"The life of an uptight tax lawyer turns chaotic when he is asked to escort a young woman newly released from prison, who persuades him to help prove her innocence.","The life of an uptight tax lawyer turns chaotic when he is asked to escort a young woman newly released from prison, who persuades him to help prove her innocence.",James Foley,"Andrew Smith, Ken Finkleman","['Madonna (Unknown Role)', 'Griffin Dunne (Unknown Role)', 'Haviland Morris (Unknown Role)', 'John McMartin (Unknown Role)', 'Bibi Besch (Unknown Role)']",Tagline not available,Comedy
She-Devil,A surprisingly resourceful housewife vows revenge on her husband when he begins an affair with a wealthy romance novelist.,A surprisingly resourceful housewife vows revenge on her husband when he begins an affair with a wealthy romance novelist.,Susan Seidelman,"Fay Weldon, Barry Strugatz, Mark R. Burns","['Meryl Streep (Unknown Role)', 'Roseanne Barr (Unknown Role)', 'Ed Begley Jr. (Unknown Role)', 'Linda Hunt (Unknown Role)', 'Sylvia Miles (Unknown Role)']",Tagline not available,Comedy
Date with an Angel,"An aspiring composer discovers a broken-winged, beautiful angel in his swimming pool. When everyone finds out, he must deal with his jealous fiancée, his future father-in-law, and his friends who have a business plan.","An aspiring composer discovers a broken-winged, beautiful angel in his swimming pool. When everyone finds out, he must deal with his jealous fiancée, his future father-in-law, and his friends who have a business plan.",Tom McLoughlin,Tom McLoughlin,"['Michael E. Knight (Unknown Role)', 'Phoebe Cates (Unknown Role)', 'Emmanuelle Béart (Unknown Role)', 'David Dukes (Unknown Role)', 'Phillip Brock (Unknown Role)']",Tagline not available,Comedy|Fantasy
Blind Date,"A workaholic needs a date for a dinner with new important clientele, but who his brother sets him up with could lead to disaster.","A workaholic needs a date for a dinner with new important clientele, but who his brother sets him up with could lead to disaster.",Blake Edwards,"Dale Launer, Blake Edwards, Leslie Dixon","['Kim Basinger (Unknown Role)', 'Bruce Willis (Unknown Role)', 'John Larroquette (Unknown Role)', 'William Daniels (Unknown Role)', 'George Coe (Unknown Role)']",Tagline not available,Comedy|Romance
Nadine,"In 1950s Texas, a woman trying to recover sexy photos of herself and divorce her husband witnesses a murder and uncovers corrupt land dealings.","In 1950s Texas, a woman trying to recover sexy photos of herself and divorce her husband witnesses a murder and uncovers corrupt land dealings.",Robert Benton,Robert Benton,"['Jeff Bridges (Unknown Role)', 'Kim Basinger (Unknown Role)', 'Rip Torn (Unknown Role)', 'Gwen Verdon (Unknown Role)', 'Glenne Headly (Unknown Role)']",Tagline not available,Comedy
The Muppet Movie,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.","Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",James Frawley,"Jerry Juhl, Jack Burns","['Jim Henson (Unknown Role)', 'Frank Oz (Unknown Role)', 'Jerry Nelson (Unknown Role)', 'Richard Hunt (Unknown Role)', 'Dave Goelz (Unknown Role)']",Tagline not available,Children's|Comedy
The Great Muppet Caper,"Kermit the Frog, The Great Gonzo, and Fozzie Bear are reporters who travel to Britain to interview a rich victim of jewel thieves and help her along with her secretary, Miss Piggy.","Kermit the Frog, The Great Gonzo, and Fozzie Bear are reporters who travel to Britain to interview a rich victim of jewel thieves and help her along with her secretary, Miss Piggy.",Jim Henson,"Tom Patchett, Jay Tarses, Jerry Juhl","['Jim Henson (Unknown Role)', 'Frank Oz (Unknown Role)', 'Dave Goelz (Unknown Role)', 'Jerry Nelson (Unknown Role)', 'Richard Hunt (Unknown Role)']",Tagline not available,Children's|Comedy
The Muppets Take Manhattan,Kermit and his friends go to New York City to get their musical on Broadway only to find it's a more difficult task than they anticipated.,Kermit and his friends go to New York City to get their musical on Broadway only to find it's a more difficult task than they anticipated.,Frank Oz,"Tom Patchett, Jay Tarses, Frank Oz","['Jim Henson (Unknown Role)', 'Frank Oz (Unknown Role)', 'Dave Goelz (Unknown Role)', 'Steve Whitmire (Unknown Role)', 'Richard Hunt (Unknown Role)']",Tagline not available,Children's|Comedy
Sesame Street Presents: Follow that Bird,,,Director not available,Writer not available,[],Tagline not available,Children's|Comedy
We&apos;re Back! A Dinosaur&apos;s Story,A time traveling scientist goes back to prehistoric times and feeds dinosaurs a magic cereal that increases their intelligence - next they land in modern New York City for a series of comic adventures.,A time traveling scientist goes back to prehistoric times and feeds dinosaurs a magic cereal that increases their intelligence - next they land in modern New York City for a series of comic adventures.,"Phil Nibbelink, Simon Wells, Dick Zondag","John Patrick Shanley, Hudson Talbott","['John Goodman (Unknown Role)', 'Charles Fleischer (Unknown Role)', 'Blaze Berdahl (Unknown Role)', 'Rhea Perlman (Unknown Role)', 'Jay Leno (Unknown Role)']",Tagline not available,Animation|Children's
Baby: Secret of the Lost Legend,"Paleontologist Susan Matthews and her husband George Loomis discover a mother and baby brontosaurus in Africa and try to protect them from Dr. Eric Kiviat, the leader of a group of hunters intent on capturing the dinosaurs.","Paleontologist Susan Matthews and her husband George Loomis discover a mother and baby brontosaurus in Africa and try to protect them from Dr. Eric Kiviat, the leader of a group of hunters intent on capturing the dinosaurs.",Bill Norton,"Clifford Green, Ellen Green, David Lee Miller","['William Katt (Unknown Role)', 'Sean Young (Unknown Role)', 'Patrick McGoohan (Unknown Role)', 'Julian Fellowes (Unknown Role)', 'Kyalo Mativo (Unknown Role)']",Tagline not available,Adventure|Sci-Fi
Turtle Diary,A man and a woman find something very touching about the sea turtles in their tank at London Zoo. They meet and form an odd but endearing camaraderie as they plot to steal two of the turtles.,A man and a woman find something very touching about the sea turtles in their tank at London Zoo. They meet and form an odd but endearing camaraderie as they plot to steal two of the turtles.,John Irvin,"Russell Hoban, Harold Pinter","['Glenda Jackson (Unknown Role)', 'Ben Kingsley (Unknown Role)', 'Richard Johnson (Unknown Role)', 'Michael Gambon (Unknown Role)', 'Rosemary Leach (Unknown Role)']",Tagline not available,Drama
Raise the Titanic,"Once they said God himself couldn't sink her. Then they said no man on Earth could reach her. But an underwater research agency, headed by Admiral James Sandecker, is assigned the job of finding the doomed ship in her North Atlant...","Once they said God himself couldn't sink her. Then they said no man on Earth could reach her. But an underwater research agency, headed by Admiral James Sandecker, is assigned the job of finding the doomed ship in her North Atlant...",Jerry Jameson,"Adam Kennedy, Eric Hughes, Clive Cussler","['Jason Robards (Unknown Role)', 'Richard Jordan (Unknown Role)', 'David Selby (Unknown Role)', 'Anne Archer (Unknown Role)', 'Alec Guinness (Unknown Role)']",Tagline not available,Drama|Thriller
A Night to Remember,"On her maiden voyage in April 1912, the supposedly unsinkable RMS Titanic strikes an iceberg in the Atlantic Ocean.","On her maiden voyage in April 1912, the supposedly unsinkable RMS Titanic strikes an iceberg in the Atlantic Ocean.",Roy Ward Baker,"Walter Lord, Eric Ambler","['Kenneth More (Unknown Role)', 'Ronald Allen (Unknown Role)', 'Robert Ayres (Unknown Role)', 'Honor Blackman (Unknown Role)', 'Anthony Bushell (Unknown Role)']",Tagline not available,Action|Drama
Captain Horatio Hornblower R.N.,"During the Napoleonic wars, a British Navy Captain has adventures in Central American waters.","During the Napoleonic wars, a British Navy Captain has adventures in Central American waters.",Raoul Walsh,"Ivan Goff, Ben Roberts, Æneas MacKenzie","['Gregory Peck (Unknown Role)', 'Virginia Mayo (Unknown Role)', 'Robert Beatty (Unknown Role)', 'Moultrie Kelsall (Unknown Role)', ""Denis O'Dea (Unknown Role)""]",Tagline not available,Action|Adventure|War
Les convoyeurs attendent,"Dreaming of more than his routine life, a father pushes his 15 years old son to break a world record: opening and closing a door 40,000 times in 24 hours.","Dreaming of more than his routine life, a father pushes his 15 years old son to break a world record: opening and closing a door 40,000 times in 24 hours.",Benoît Mariage,"Emmanuelle Bada, Benoît Mariage, Jean-Luc Seigle","['Benoît Poelvoorde (Unknown Role)', 'Morgane Simon (Unknown Role)', 'Bouli Lanners (Unknown Role)', 'Dominique Baeyens (Unknown Role)', ""Philippe Grand'Henry (Unknown Role)""]",Tagline not available,Comedy|Drama
Erin Brockovich,A flamboyant law firm secretary works tirelessly to gain justice for a small town wrecked by a utility company's pollution.,A flamboyant law firm secretary works tirelessly to gain justice for a small town wrecked by a utility company's pollution.,Steven Soderbergh,Susannah Grant,"['Julia Roberts (Unknown Role)', 'Albert Finney (Unknown Role)', 'David Brisbin (Unknown Role)', 'Dawn Didawick (Unknown Role)', 'Valente Rodriguez (Unknown Role)']",Tagline not available,Drama
